     H        R_TMM     R_Theory
0.8338       0.4420       0.4410
0.8348       0.4403       0.4393
0.8358       0.4386       0.4375
0.8368       0.4368       0.4358
0.8378       0.4350       0.4340
0.8388       0.4332       0.4322
0.8398       0.4314       0.4304
0.8408       0.4296       0.4285
0.8418       0.4277       0.4266
0.8428       0.4258       0.4247
0.8438       0.4239       0.4228
0.8448       0.4220       0.4208
0.8458       0.4200       0.4189
0.8468       0.4180       0.4169
0.8478       0.4160       0.4149
0.8488       0.4140       0.4128
0.8498       0.4120       0.4107
0.8509       0.4099       0.4087
0.8519       0.4078       0.4066
0.8529       0.4057       0.4044
0.8539       0.4035       0.4023
0.8549       0.4014       0.4001
0.8559       0.3992       0.3979
0.8569       0.3970       0.3957
0.8579       0.3947       0.3934
0.8589       0.3925       0.3911
0.8599       0.3902       0.3888
0.8609       0.3879       0.3865
0.8619       0.3856       0.3842
0.8629       0.3832       0.3818
0.8639       0.3809       0.3794
0.8649       0.3785       0.3770
0.8659       0.3760       0.3746
0.8669       0.3736       0.3721
0.8679       0.3711       0.3696
0.8689       0.3687       0.3671
0.8699       0.3661       0.3646
0.8709       0.3636       0.3621
0.8719       0.3611       0.3595
0.8729       0.3585       0.3569
0.8739       0.3559       0.3543
0.8749       0.3533       0.3517
0.8759       0.3506       0.3490
0.8769       0.3480       0.3464
0.8779       0.3453       0.3437
0.8789       0.3426       0.3409
0.8799       0.3399       0.3382
0.8809       0.3371       0.3354
0.8819       0.3344       0.3327
0.8829       0.3316       0.3299
0.8839       0.3288       0.3270
0.8849       0.3259       0.3242
0.8859       0.3231       0.3213
0.8869       0.3202       0.3185
0.8879       0.3173       0.3156
0.8889       0.3144       0.3126
0.8899       0.3115       0.3097
0.8909       0.3086       0.3068
0.8919       0.3056       0.3038
0.8929       0.3026       0.3008
0.8939       0.2996       0.2978
0.8949       0.2966       0.2948
0.8959       0.2936       0.2917
0.8969       0.2906       0.2887
0.8979       0.2875       0.2856
0.8989       0.2844       0.2825
0.8999       0.2813       0.2794
0.9009       0.2782       0.2763
0.9019       0.2751       0.2732
0.9029       0.2720       0.2700
0.9039       0.2688       0.2669
0.9049       0.2657       0.2637
0.9059       0.2625       0.2605
0.9069       0.2593       0.2573
0.9079       0.2562       0.2541
0.9089       0.2530       0.2509
0.9099       0.2497       0.2477
0.9109       0.2465       0.2445
0.9119       0.2433       0.2413
0.9129       0.2401       0.2380
0.9139       0.2368       0.2348
0.9149       0.2336       0.2315
0.9159       0.2303       0.2283
0.9169       0.2271       0.2250
0.9179       0.2238       0.2217
0.9189       0.2205       0.2185
0.9199       0.2173       0.2152
0.9209       0.2140       0.2119
0.9219       0.2107       0.2086
0.9229       0.2074       0.2054
0.9239       0.2042       0.2021
0.9249       0.2009       0.1988
0.9259       0.1976       0.1956
0.9269       0.1944       0.1923
0.9279       0.1911       0.1890
